kind,etag,id,publishedAt,channelId,title,description,thumbnails,channelTitle,tags,categoryId,liveBroadcastContent,defaultLanguage,videoDuration,videoDimension,videoDefinition,videoCaption,videoLicensedContent,videoProjection,viewCount,likeCount,favouriteCount,commentCount
youtube#video,yxQWyxsOcZO9sdrCgrdi06PfdEY,BVzsT0Apa5I,2020-06-19T08:00:03Z,UCR5wZcXtOUka8jTA57flzMg,Ece Mumay - Galaksi,"Ece Mumay'ın, Dark'n Dark Music etiketiyle yayınlanan ""Galaksi"" isimli tekli çalışması, video klibiyle netd müzik'te. 
 
Söz & Müzik: Ece Mumay
Düzenleme: Semih Gönder
Yönetmen: Taşkın Ceyhan
Produktör: Cem Başaran Aksan
Süpervizör: Çağlar Tavşanoğlu
Mastering: Emre Kral
Edit: Can Atayılmaz
Çelik Telli Gitar: Semih Gönder
Buzuki, Bağlama, Cümbüş: Mustafa İpekçioğlu
 
netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

""Galaksi"" şarkı sözleri ile

Şimdi ne farkeder Pazartesi, Cumartesi
Yanımda yoksun iyi mi böylesi aklım almıyo geldiğin yer neresi nası’ bi galaksi 
Eline beline dokunamaz oldum,
Su gibi tenine sarılamaz oldum,
Sensiz bi’ güne uyanamaz oldum,
Bittim özüme sözüme dönemez oldum.

Kulun oldum, kapına kölen oldum,
Yaralarını saralım,
Ah tiryakin oldum.

Karaları bağlamadan hadi bana gel
Durma durdurma beni
Saçını başını toplamadan bana gel
Sorma sordurma beni
Tavrını tarzını saklamadan gel
Zorla, oldurma bizi
Memleket neresi ver artik adresi
Nasi bi’ galaksi.
 
Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt","{'default': {'url': 'https://i.ytimg.com/vi/BVzsT0Apa5I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BVzsT0Apa5I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BVzsT0Apa5I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BVzsT0Apa5I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BVzsT0Apa5I/maxresdefault.jpg', 'width': 1280, 'height': 720}}",netd müzik,"['netd Müzik', 'Musik', 'musiqi', 'музика', 'muziek', 'musique', 'musiqaa', 'موسيقى', 'şarkılar', 'şarkı', 'müzik', 'Official', 'netd', 'Hit Şarkılar', 'izle', 'klip', 'Top 10', 'top 20', 'en hit', 'çok dinlenen', 'yeni şarkılar', 'en yeni şarkılar', '2020 hit şarkılar', 'Turkish Music', 'turca musica', 'Türkçe Müzik', 'Turkish Pop', '2020 türkçe pop', 'pop şarkılar', 'Türkçe pop', 'Ece Mumay - Galaksi', 'Ece Mumay', 'Galaksi']",10,none,tr,PT2M51S,2d,hd,true,True,rectangular,308172857,1193718,0,63824.0
youtube#video,tEmS7sF0JYwNNciME442k_oaiXM,NdtzZYxMcKA,2020-07-24T13:30:02Z,UCR5wZcXtOUka8jTA57flzMg,Ziynet Sali - Kalbim Tatilde,"Ziynet Sali'nin, DMC etiketiyle yayınlanan ""Kalbim Tatilde"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Emrah Karakuyu (Editör: FLOOM Music)
Düzenleme: Mustafa Ceceli 
Yönetmen: Murad Küçük

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

""Kalbim Tatilde"" şarkı sözleri ile

Belki uyanırız bi sahilde 
Dur konuşma uzat ellerini sakince 
Anlatayım en basit tabirle 
Vurunca aşk sanki kalbim her gün tatilde 

Biliyor musun 
Böyle gülmezdim senden önce 
Böyle doğmazdı güneş
Bitirecek tüm derdi kederimi bir bakışın 
Böyle atmazdı yürek 

Ah bir de dokunsan 
Yangınlar az gelecek
Anlattım yokluğunu bilmem ki kaç geceye 
Hoşgeldin yazıma kışıma 
Kıyamam tek damla gözyaşına 
Ölürüm sana bir şey olsa 
Ömrümden ömür gidecek

Sanki hiç üzülmemiş 
Kırılıp söylenmemiş
Sanki hiç sevmemiş gibiyim 
Tatlı bir rüzgar gibi 
Esersin bahar gelir 
Çünkü sen cennetin dibisin

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt","{'default': {'url': 'https://i.ytimg.com/vi/NdtzZYxMcKA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NdtzZYxMcKA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NdtzZYxMcKA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NdtzZYxMcKA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NdtzZYxMcKA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",netd müzik,"['netd Müzik', 'Musik', 'musiqi', 'музика', 'muziek', 'musique', 'musiqaa', 'موسيقى', 'şarkılar', 'şarkı', 'müzik', 'Official', 'netd', 'Hit Şarkılar', 'izle', 'klip', 'Top 10', 'top 20', 'en hit', 'çok dinlenen', 'yeni şarkılar', 'en yeni şarkılar', '2020 hit şarkılar', 'Turkish Music', 'turca musica', 'Türkçe Müzik', 'Turkish Pop', '2020 türkçe pop', 'pop şarkılar', 'Türkçe pop', 'Ziynet Sali - Kalbim Tatilde', 'Ziynet Sali', 'Kalbim Tatilde']",10,none,tr,PT2M46S,2d,hd,true,True,rectangular,203551837,623332,0,19760.0
youtube#video,XWfKsc5hoJB_MullwXE-WkEoKkk,idizwemw02U,2020-09-03T09:00:08Z,UCR5wZcXtOUka8jTA57flzMg,Hadise - Küçük Bir Yol,"Hadise'nin, Pasaj Müzik etiketiyle yayınlanan ""Küçük Bir Yol"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz: Devrim Karaoğlu - Mete Özgencil
Müzik: Devrim Karaoğlu
Prodüktör ve Düzenleme: Devrim Karaoğlu
Mix: Will Brierre
Stüdyo: “Elephant in the Room”
Mastering: Howie Weinberg and Will Borza
Yönetmen: Şenol Korkmaz
Görüntü Yönetmeni: Veli Kuzlu
Senaryo: Hadise Açıkgöz
Oyuncular: Gui Fedrizzi, Benek, Bilbey 

""Küçük Bir Yol"" şarkı sözleri ile;

Buralar yalan, uzak bir de
Bir arasan, bu kalp delirir

Umutsuz olmaz aşksız yaşanmaz
Kuşku duyanlar ve yanmadan sönenler…

Küçük bir yoldayım en başındayım
Kendi kendimle hep sıfırdayım
Senin dağların benim yollarım
O sen olsaydın
Benim yanımda
Sağımda solumda ufkumda…
Senin yanında
Yazında kışında tüm baharlarında…

Oralar nasıl? Uzak tabii
Gel desem? Diyemem peki
Umutsuz olmaz aşksız yaşanmaz
Kuşku duyanlar ve yanmadan sönenler…

Küçük bir yoldayım en başındayım
Kendi kendimle hep sıfırdayım
Senin dağların benim yollarım
O sen olsaydın
Benim yanımda
Sağımda solumda ufkumda…
Senin yanında
Yazında kışında tüm baharlarında…

Küçük bir yolda çarpışsak senle
Vazgeçsem olmaz ki…
Bu sel durulmaz ki böyle

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt","{'default': {'url': 'https://i.ytimg.com/vi/idizwemw02U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/idizwemw02U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/idizwemw02U/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/idizwemw02U/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/idizwemw02U/maxresdefault.jpg', 'width': 1280, 'height': 720}}",netd müzik,"['netd Müzik', 'Turkish Music', 'Musik', 'musiqi', 'музика', 'muziek', 'musique', 'musiqaa', 'موسيقى', 'Türkçe Müzik', 'Turkish Pop', '2020 türkçe pop', 'pop şarkılar', 'şarkılar', 'şarkı', 'müzik', 'Türkçe pop', 'Slow', 'Hit Şarkılar', '2020 hit şarkılar', 'türküler', 'izle', 'klip', 'Aşk Şarkıları', 'top 10', 'top 20', 'yabancı şarkılar', 'en hit', 'çok dinlenen', 'yeni şarkılar', 'en yeni şarkılar', 'Official', 'netd', 'Hadise - Küçük Bir Yol', 'hadise', 'küçük bir yol', 'hadise son klibi', 'hadisenin yeni klibi']",10,none,tr,PT4M38S,2d,hd,true,True,rectangular,133931593,623463,0,42091.0
youtube#video,U3-PbvBdSrhBt-ZV-jrh33RM53E,xIW6CvRrucs,2020-08-23T11:00:12Z,UCPkJpV61vI6qPFimZFS8oCg,Seviyor Sandım - Nigar Muharrem Ft. Çınare Melikzade,"""Seviyor Sandım"" tüm dijital platformalarda , ve klibiyle Youtube'de yayında !

Itunes'dan dinle : https://apple.co/3gid52N
Spotify'dan dinle  : https://spoti.fi/2QfUCcH

Söz/Müzik : Nigar Muharrem
Düzenleme : Rabil Seferli
Mix/Mastering : Özgür Yurtoğlu
Gitar : Doğukan Aydın
Yönetmen : Dr. Nicat Zeynallı
Görüntü Yönetmeni : Reşad Hüseyn
Kurgu/Renk : Dr.Nicat Zeynallı
Prodüktör : Sadiq Haji

Şarkı sözleri : 

Bundan sonra ondan aşk dilenmem..
Zaten sevgi değil bana oldu cehennem..
Artık kendimden başkasına da güvenmem
Onu kolay kolay kolay affetmem

Vallaha yalan sözlerine,
Gece gibi kara gözlerine
Yüzüme yalandan gülmesine
Aldandım, seviyor sandım..

Bırak be dostum, değmez üzülmeye
Gücün yetmez ki, artık direnmeye
Yetmedi mi bu kadar canını yaktığın
O vicdansızın neyine kandın?


Nigar Muharrem Sosyal Medyada 

instagram : http://instagram.com/nigar.muharrem
facebook : https://www.facebook.com/nigarmuharremmusic


Abune  Ol  : http://bit.ly/NigarMuharrem","{'default': {'url': 'https://i.ytimg.com/vi/xIW6CvRrucs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xIW6CvRrucs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xIW6CvRrucs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xIW6CvRrucs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xIW6CvRrucs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Nigar Muharrem,"['nigar muharrem', 'nigar muharrem 2020', 'nigar muharrem yeni', 'cinare melikzade', 'cinare melikzade 2020', 'cinare melikzade yeni', 'Nigar CInare Seviyor', 'nigar seviyor sandim', 'cinare seviyor sandim', 'vallaha yalan sozlerine', 'gece gibi kara gozlerine', 'aldandim seviyor sandim', 'birak be dostum degmez uzulmeye', 'yetmedi mi bu kadar canini yaktin', 'o vicdansizin neyine kandin']",10,none,tr,PT3M,2d,hd,true,True,rectangular,81915356,425786,0,11739.0
youtube#video,m7V_TlIqx97IK4dPYKNYc1UEYAk,awdYYn-bW1w,2020-12-12T13:30:00Z,UCGO7K_Q3-RiuxPXxDPg-sow,🌈 Funny Stories Vlad and Niki 😘,"🌈 Funny Stories Vlad and Niki 😘
PLEASE CLICK THE 🔔 BELL TO GET UPDATES AND DON'T FORGET TO ► SUBSCRIBE! ►

Specially designed for kids as they explore the World","{'default': {'url': 'https://i.ytimg.com/vi/awdYYn-bW1w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/awdYYn-bW1w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/awdYYn-bW1w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/awdYYn-bW1w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/awdYYn-bW1w/maxresdefault.jpg', 'width': 1280, 'height': 720}}",BananasFive,,27,none,en,PT10S,2d,hd,false,False,rectangular,72301985,1498248,0,
youtube#video,LdJXS2n_k2dDe4vqqy7TfeYMj_I,DjSBg3WpxnQ,2020-09-03T21:00:11Z,UC5P-78khuZWGq-aRggY0Lsw,Diyar Pala - Uzak Ol (Official Video),"--------------------------------
Kimisi yüzüme dost
Kiminin kafada şeytanı çok
Bu yüzden yanıma yanaşır
Sorsan bi çıkarı yok yok yok yok
Görünen ooo, çevremde keneler cirit atar
Pastadan pay için seni satar
Yalnız takılmak en doğru karar

En dibe vurdum off nereye kadar
Kor alevler akar damarlarımda
Kavrulmak ne demek bir de bana sor
Yıllar karışıyor dumanlara
Kafada sorunlar yine bi ton
Çevremde yancılar dolanıyor
Çok oldu çizeli farklı bi yol
Benden uzak ol

Peki niye, durumum değişti birden bire
Kolayca güvenip inanan bu adam
Aniden dönüştü taş kalpliye
Bile bile, insanlar geliyor üzerime
kafamı bozamam çenemi yoramam 
Artık ben dönemem o günlere
--------------------------------
Sported By: Shisha Station
https://www.instagram.com/shisha_station_official
--------------------------------
Youtube Abone Ol: https://bit.ly/3vy6SK8
Spotify: https://spoti.fi/352QqWh
İnstagram: https://bit.ly/34QemKf
--------------------------------
(Video Production)
Directed & Produced By: Diyar Pala
Director of Photography: Kadir Yücel
Video Editor & Vfx: Kadir Yücel
Assistant Director: Güneş Güneş
--------------------------------
Söz/Müzik: Diyar Pala
Aranje: Aiko Milord & Kupa A
Violin: Istanbul Strings
Mix/Mastering: Kupa A
--------------------------------
© ℗ 2020 Diyar Pala
#diyarpala  #uzakol  #karagöl","{'default': {'url': 'https://i.ytimg.com/vi/DjSBg3WpxnQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DjSBg3WpxnQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DjSBg3WpxnQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/DjSBg3WpxnQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/DjSBg3WpxnQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Diyar Pala,"['diyar pala', 'pompalamasyon', 'türkçe pop', 'tükçe rap', 'türkçe rnb', 'türkçe reggae', 'türkçe müzik', 'turkish music', 'spotify', 'deezer', 'Shisha Station', 'shisha_station_official', 'Pala Music', 'Kupa A', 'RnBesk', 'Türkçe Reggae', 'Türkçe Hip Hop', 'Türkçe Rap', 'Türkçe Rnb Türkçe Pop', 'Türkçe Müzik', 'Turkish Rnb', 'Turkish Music', 'Tukish Hip Hop', 'Pompalamasyon Feat. Mercan & Sultana', 'Uzak Ol', '2020', 'Yeni Müzik', 'diyar pala yeni', 'şarkı sözleri', 'diyar pala lyrics', 'London Movie Production', 'Istanbul Strings']",10,none,tr,PT3M36S,2d,hd,true,True,rectangular,64310394,446923,0,13065.0
youtube#video,becc1C2hg23elN9qU-_sBHBvia4,d9jVsSrJA5A,2020-05-16T19:00:07Z,UC2RX7ul4P3yzcbaxpTgWmHQ,Derya Bedavacı - Ama Geçecek (Akustik),"Söz/Müzik: Derya Bedavacı 
Düzenleme: Murat Bedavacı
Klarnet: Burakhan Nur 
Akustik Gitar, Bas Gitar: Ozan Kaplan 
Klavyeler: Gökçe Gök 
Perküsyonlar: ( Udu drum,Bendir,Djembe,Darbuka,Def,Cajon,Shaker,Waterfall ) Murat Bedavacı 
Mix: Burakhan Nur 
Mastering: Özgür Yurtoğlu  
Video Klip: Mibemol Müzik @mibemolmuzik


Ama Geçecek

Belki bu doğru olan,  
Yalan değil kahrım büyük.
Ne gösterecek zaman , 
Belli olmaz , dünya küçük . 

Umudun olmadan dayanması zordur , 
Saati dolmadan bir çaresi yoktur... 

Ama geçecek, geçmez mi sanıyorsun bu keder ? 
Yine bitecek bitmez gibi gelen geceler belki üzecek seni 
Ama geçecek..","{'default': {'url': 'https://i.ytimg.com/vi/d9jVsSrJA5A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/d9jVsSrJA5A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/d9jVsSrJA5A/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/d9jVsSrJA5A/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/d9jVsSrJA5A/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Derya Bedavacı,"['türkçe müzik', 'derya bedavacı', 'Bilal sonses', 'Müslüm Gürses', 'arabesk müzik', 'sende kaldı yüreğim', 'arabesk', 'netd müzik', 'hakan altun', 'damar şarkılar', 'slow müzikler', 'türkçe slow şarkılar', 'Turkish music', 'en yeni şarkılar', 'slow şarkılar', 'derya bedavacı küskünüm', 'küskünüm', 'deme', 'deme düşmem ocağına', 'derya bedavacı deme', 'ibrahim erkall', 'içimdeki sen#', '2020 hit şarkılar', 'yeni şarkılar', 'tuğçe kandemir']",10,none,none,PT4M33S,2d,hd,false,False,rectangular,61887172,268953,0,16695.0
youtube#video,qREPJel9XHDL33BC7ShRupgKVAA,xSsiS304iY8,2020-10-18T10:00:12Z,UCSpvzqzfRAJGAWcuYjxWRbw,Football Matches That Shocked The World,"Football games that shocked the world! Barcelona, Bayern Munich, PSG, Liverpool, Brazil, Germany and more in video!

🎶Imperfections by ''Whitesand'' 👉🏼 https://youtu.be/pRfTMeJbg4M

C'mon guys subscribe!😍","{'default': {'url': 'https://i.ytimg.com/vi/xSsiS304iY8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xSsiS304iY8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xSsiS304iY8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xSsiS304iY8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xSsiS304iY8/maxresdefault.jpg', 'width': 1280, 'height': 720}}",TKHD,"['football', 'football matches', 'football games', 'shocked world football', 'shocked world football matches', 'shocked world football games', 'football games shocked', 'tkhd', 'brazil germany', 'psg', 'barcelona', 'barcelona messi', 'barcelona bayern', 'bayern 8-2', 'Football Matches Shocked World']",17,none,en,PT13M35S,2d,hd,false,True,rectangular,43937620,518529,0,10238.0
youtube#video,PT_MiATWmkRX8jk2hrMYzsheD5U,miax0Jpe5mA,2020-07-01T17:25:43Z,UCK6cr8UqdrKZ4213X-FOStQ,Flashdance • What a Feeling • Irene Cara,"Soundtrack from the 1983 Adrian Lyne film ""Flashdance"" with Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson, Kyle T. Heffner, Lee Ving,  Ron Karabatsos, Belinda Bauer,  & Cynthia Rhodes.  ""What a Feeling"" was written by Giorgio Moroder and performed by Irene Cara. --- HD Film Tributes is a channel with over three hundred movie homages currently posted. We make zero money from YouTube as obviously none of these edits will ever be monetized by us. Any and all ad revenue from these videos goes directly to Google as well as to the various copyright owners, the film studios and the recording industry. -- Please consider supporting HD Film Tributes and our editing efforts with a donation via PayPal. Your help will be very much appreciated. Thank you! - https://paypal.me/HDFilmTributes","{'default': {'url': 'https://i.ytimg.com/vi/miax0Jpe5mA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/miax0Jpe5mA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/miax0Jpe5mA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/miax0Jpe5mA/sddefault.jpg', 'width': 640, 'height': 480}}",HD Film Tributes,,24,none,none,PT4M1S,2d,hd,false,False,rectangular,33443736,261264,0,5972.0
youtube#video,g5Rpoyi8-7Dtb7w2v1mo9Fc54N8,Pcgm78O98bQ,2020-03-11T00:00:00Z,UC_hK9fOxyy_TM8FJGXIyG8Q,"Shoe Saleswoman Humiliates Poor Woman, Then Instantly Regrets Her Decision | Dhar Mann","⚑ MOBILE APP ⚑
App Store = https://apple.co/3nhvjap
Google Play = https://bit.ly/3DRzS1I


💥 Don't forget to SUBSCRIBE to my channel by clicking here ➞ ➞ http://bit.ly/DharMannYouTube **Make sure you CLICK THE BELL ICON so you can get notifications when my next video goes up so you don’t miss anything!

REMEMBER - We're not just telling stories, we're changing lives! So please help my videos change more lives by SHARING!



⚑  SHOP EXCLUSIVE MERCH! ⚑  
Shop Merch ➜ https://shop.dharmann.com/



⚑ CONNECT WITH ME ⚑ 
Instagram ➜ https://www.instagram.com/dhar.mann/
Facebook ➜ https://www.facebook.com/dharmannofficial
Twitter ➜ https://twitter.com/dharmann
Pinterest ➜ https://pinterest.com/dharmannofficial
TikTok ➜ https://bit.ly/34P7DQR
Newsletter Sign-Up ➜ http://bit.ly/2uNssig



★ OTHER CHANNELS ★ 
🔴 Behind-The-Scenes Channel ➜ https://bit.ly/3dJRfGb
🟡 Top Videos Channel ➜ https://bit.ly/2PPqSH9
🟠 Reactions Channel ➜ https://bit.ly/3ftiiYk
🟢 Extended Cuts ➜ https://bit.ly/3iBiNBS
Compilations Channel ➜ https://bit.ly/2S89zly
Dhar and Laura Vlog ➜ http://bit.ly/DharAndLauraYouTube


INTERNATIONAL CHANNELS:
Spanish: https://bit.ly/2EuagyY
Portuguese: https://bit.ly/3nx2Blc
Arabic: https://bit.ly/3jYE0TQ
Hindi: https://bit.ly/2Iy6beu
French: https://bit.ly/3COf2Qc
German: https://bit.ly/3AQI3dE


★ RECOMMENDED VIDEO FOR YOU ★
- Gamer Gets Cyberbullied At School: https://youtu.be/kmG9maCcut4

★ RECOMMENDED PLAYLIST FOR YOU ★
- My Best Videos: https://bit.ly/3z7QEIC





⚑ LEAVE A REVIEW ON IMDB ⚑ 
Share Your Review ➜ https://imdb.to/3zDwUgv





💥 NEW VIDEOS every MONDAY, TUESDAY, WEDNESDAY and THURSDAY at 5pm (PST) 

CHAPTERS:
00:00    Shoe Saleswoman Humiliates Poor Woman, Then Instantly Regrets Her Decision
06:24    Dhars Outro
06:54    Recommended Video To Watch Next

#LiveYourBestLife #LifeTips","{'default': {'url': 'https://i.ytimg.com/vi/Pcgm78O98bQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Pcgm78O98bQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Pcgm78O98bQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Pcgm78O98bQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Pcgm78O98bQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Dhar Mann Studios,"['Dhar Mann', 'motivational', 'inspirational', 'life tips', 'life lessons', 'golden rule', 'showing kindness to others', 'dont judge a book by its cover', 'dont judge', ""don't judge other people"", ""why you shouldn't judge others"", 'self improvement', 'why you should be nice', ""why we shouldn't judge"", 'stop judging other people', 'the golden rule', 'dont judge others', 'why you shouldnt judge others', 'why you should be kind to others', 'life lesson', 'showing kindness', 'how to be more kind']",22,none,none,PT7M13S,2d,hd,false,True,rectangular,24087757,407196,0,14198.0
